epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.905193,0.697256,0.693125,1.057546,1.899,2.4382,-1.5351,0.7963,5.208333333333334e-06
2,0.902449,0.694563,0.692953,1.051427,1.89,2.4265,-1.5108,0.7963,1.0208333333333334e-05
3,0.895315,0.687503,0.692707,1.036414,1.8678,2.3967,-1.4496,0.7963,1.5208333333333333e-05
4,0.879554,0.67191,0.692147,1.001674,1.8129,2.3273,-1.3097,0.7963,2.0208333333333334e-05
5,0.853288,0.645944,0.691146,0.943335,1.713,2.2044,-1.0722,0.7963,2.5208333333333334e-05
6,0.826642,0.619785,0.689526,0.896178,1.6251,2.0968,-0.8749,0.7963,3.0208333333333334e-05
7,0.814469,0.608545,0.686411,0.852672,1.5424,2.0003,-0.7063,0.7963,3.520833333333334e-05
8,0.807652,0.603457,0.680651,0.822213,1.4927,1.9453,-0.6137,0.7963,4.020833333333334e-05
9,0.791795,0.591017,0.669259,0.806571,1.4767,1.9318,-0.5915,0.7963,4.520833333333334e-05
10,0.767811,0.571639,0.653906,0.766086,1.4041,1.8648,-0.483,0.7963,5.020833333333333e-05
11,0.722229,0.533749,0.628266,0.716133,1.312,1.7728,-0.3403,0.8333,5.520833333333334e-05
12,0.66011,0.481534,0.595254,0.646915,1.182,1.6082,-0.1029,0.8704,6.020833333333333e-05
13,0.588812,0.420097,0.562382,0.568696,1.0506,1.4085,0.1539,0.7963,6.520833333333334e-05
14,0.485558,0.328658,0.523,0.484631,0.8948,1.2259,0.3592,0.7963,7.020833333333334e-05
15,0.446125,0.295832,0.500976,0.49814,0.8848,1.2449,0.3391,0.7593,7.520833333333334e-05
16,0.38913,0.249663,0.464893,0.514143,0.9344,1.2486,0.3352,0.7222,8.020833333333334e-05
17,0.386618,0.252012,0.448688,0.464459,0.8316,1.1596,0.4266,0.7407,8.520833333333334e-05
18,0.329152,0.210283,0.396228,0.388122,0.7435,1.0965,0.4873,0.8519,9.020833333333334e-05
19,0.326309,0.209758,0.388506,0.392272,0.7465,1.1176,0.4673,0.8333,9.520833333333333e-05
20,0.30022,0.187551,0.375563,0.396527,0.7287,1.0687,0.513,0.7963,0.0001
21,0.308562,0.199162,0.364666,0.372445,0.7068,1.0164,0.5594,0.8148,9.999238475781957e-05
22,0.333518,0.220298,0.377401,0.402094,0.7396,1.061,0.5199,0.7963,9.99695413509548e-05
23,0.305503,0.197055,0.361491,0.352686,0.6527,0.9703,0.5985,0.7963,9.99314767377287e-05
24,0.280668,0.177679,0.343299,0.378041,0.688,1.0246,0.5523,0.7778,9.987820251299122e-05
25,0.271331,0.171211,0.333731,0.395527,0.7174,1.0158,0.56,0.7778,9.980973490458728e-05
26,0.319967,0.200321,0.398822,0.4753,0.87,1.152,0.4341,0.7778,9.972609476841367e-05
27,0.296836,0.19494,0.339653,0.379359,0.7028,1.0244,0.5525,0.8148,9.962730758206611e-05
28,0.250344,0.161194,0.297167,0.370992,0.6989,1.0263,0.5508,0.8148,9.951340343707852e-05
29,0.282294,0.188307,0.31329,0.411507,0.7479,1.0719,0.51,0.7963,9.938441702975689e-05
30,0.258863,0.1634,0.318208,0.328631,0.6239,0.9453,0.6189,0.8148,9.924038765061042e-05
31,0.263827,0.169566,0.314203,0.359112,0.667,0.9742,0.5953,0.7778,9.908135917238321e-05
32,0.250547,0.15421,0.321124,0.3443,0.6446,0.9257,0.6346,0.8148,9.890738003669029e-05
33,0.251436,0.163513,0.293079,0.368408,0.6524,0.9771,0.5929,0.8148,9.871850323926177e-05
34,0.22413,0.141767,0.274543,0.379365,0.7281,1.0527,0.5274,0.8148,9.851478631379982e-05
35,0.253566,0.174036,0.265099,0.327065,0.6171,0.9229,0.6368,0.8148,9.829629131445342e-05
36,0.217356,0.139471,0.259619,0.339284,0.6329,0.9597,0.6072,0.8148,9.806308479691595e-05
37,0.1979,0.125851,0.240164,0.30947,0.5788,0.9015,0.6534,0.8148,9.781523779815179e-05
38,0.226271,0.153414,0.242856,0.354113,0.6484,0.945,0.6192,0.8148,9.755282581475769e-05
39,0.226165,0.151763,0.248006,0.352781,0.5913,0.9694,0.5992,0.7963,9.727592877996585e-05
40,0.199723,0.128452,0.237573,0.353119,0.6365,0.9564,0.61,0.8148,9.698463103929542e-05
41,0.206592,0.14152,0.216907,0.401865,0.7151,0.9721,0.597,0.8148,9.667902132486009e-05
42,0.219472,0.156565,0.209692,0.324034,0.5636,0.8954,0.6581,0.8148,9.635919272833938e-05
43,0.206157,0.1365,0.232193,0.343882,0.6124,0.9146,0.6433,0.8148,9.602524267262203e-05
44,0.225326,0.152774,0.24184,0.354937,0.6273,0.9555,0.6106,0.8148,9.567727288213005e-05
45,0.146844,0.097624,0.164067,0.329154,0.6089,0.8935,0.6596,0.8333,9.53153893518325e-05
46,0.182974,0.135467,0.158354,0.367631,0.6114,0.977,0.5929,0.8148,9.493970231495835e-05
47,0.169895,0.119937,0.166527,0.344469,0.5844,0.8906,0.6618,0.8333,9.45503262094184e-05
48,0.15971,0.124304,0.118022,0.335739,0.5754,0.8831,0.6674,0.8148,9.414737964294636e-05
49,0.15827,0.110433,0.159454,0.339693,0.604,0.865,0.6809,0.8148,9.373098535696979e-05
50,0.146821,0.107517,0.131013,0.336786,0.5797,0.8814,0.6687,0.8148,9.330127018922194e-05
51,0.123657,0.09751,0.087156,0.349014,0.5705,0.8835,0.6671,0.8148,9.285836503510562e-05
52,0.111782,0.083765,0.09339,0.326386,0.557,0.8592,0.6852,0.7778,9.24024048078213e-05
53,0.137407,0.09493,0.141589,0.352124,0.5743,0.8992,0.6552,0.8148,9.193352839727121e-05
54,0.134969,0.097,0.126564,0.447593,0.6806,1.0287,0.5487,0.7963,9.145187862775209e-05
55,0.126737,0.089143,0.125316,0.375347,0.5624,0.9111,0.646,0.7963,9.09576022144496e-05
56,0.124995,0.093843,0.103839,0.356034,0.5616,0.9729,0.5963,0.8333,9.045084971874738e-05
57,0.192658,0.130737,0.206403,0.355988,0.5604,0.9028,0.6525,0.8333,8.993177550236464e-05
58,0.136514,0.111783,0.082437,0.52762,0.8404,1.1475,0.4385,0.8148,8.940053768033609e-05
59,0.134849,0.108708,0.087139,0.341625,0.5558,0.9053,0.6505,0.8519,8.885729807284856e-05
60,0.122487,0.088748,0.112463,0.382105,0.585,0.969,0.5996,0.7963,8.83022221559489e-05
61,0.115285,0.092112,0.077246,0.429843,0.6315,0.9992,0.5742,0.8333,8.773547901113862e-05
62,0.104913,0.085953,0.0632,0.430343,0.6224,1.001,0.5727,0.7963,8.715724127386972e-05
63,0.140515,0.109535,0.103267,0.435218,0.62,0.9753,0.5944,0.8333,8.656768508095853e-05
64,0.097951,0.07832,0.065438,0.439564,0.6582,1.0006,0.573,0.8519,8.596699001693255e-05
65,0.120458,0.094343,0.087052,0.411031,0.6081,0.9485,0.6163,0.8519,8.535533905932738e-05
66,0.120005,0.095014,0.083304,0.427071,0.622,0.907,0.6492,0.8148,8.473291852294987e-05
67,0.121019,0.100313,0.069018,0.392016,0.6023,0.932,0.6296,0.8519,8.409991800312493e-05
68,0.115662,0.093341,0.074402,0.428398,0.6565,0.9702,0.5986,0.8333,8.345653031794292e-05
69,0.117009,0.095655,0.07118,0.47219,0.6729,0.9832,0.5878,0.8148,8.280295144952536e-05
70,0.105207,0.087424,0.059279,0.517752,0.6879,1.0638,0.5174,0.7963,8.213938048432697e-05
71,0.088302,0.074489,0.046042,0.466882,0.6694,1.0111,0.564,0.8333,8.146601955249188e-05
72,0.104653,0.081026,0.078754,0.370479,0.5722,0.9206,0.6386,0.8148,8.07830737662829e-05
73,0.116782,0.096244,0.068458,0.4768,0.6675,1.0536,0.5267,0.8148,8.009075115760243e-05
74,0.096386,0.083293,0.043646,0.454293,0.6515,1.0158,0.5599,0.8148,7.938926261462366e-05
75,0.10775,0.089034,0.062386,0.433663,0.6038,1.0124,0.5629,0.8148,7.86788218175523e-05
76,0.093029,0.079712,0.044389,0.478209,0.6525,1.0349,0.5433,0.8148,7.795964517353735e-05
77,0.094753,0.074245,0.06836,0.424053,0.5973,1.034,0.5441,0.8148,7.723195175075136e-05
78,0.088231,0.073237,0.04998,0.461714,0.6369,1.0189,0.5573,0.8148,7.649596321166024e-05
79,0.093347,0.080886,0.041538,0.43667,0.6225,0.9682,0.6002,0.8333,7.575190374550272e-05
80,0.090112,0.078637,0.038252,0.410253,0.56,0.9042,0.6513,0.8148,7.500000000000001e-05
81,0.107069,0.092983,0.046955,0.478645,0.6367,0.9933,0.5792,0.8148,7.424048101231686e-05
82,0.085194,0.067032,0.06054,0.438338,0.5959,0.9819,0.5889,0.8333,7.347357813929454e-05
83,0.073481,0.066892,0.021963,0.417752,0.5463,0.9318,0.6297,0.8333,7.269952498697734e-05
84,0.088394,0.077149,0.037485,0.405032,0.5488,0.9911,0.5811,0.8333,7.191855733945387e-05
85,0.078976,0.074114,0.016208,0.415773,0.5683,0.9373,0.6253,0.8519,7.113091308703498e-05
86,0.150492,0.120927,0.098549,0.448362,0.5793,0.9609,0.6063,0.8519,7.033683215379002e-05
87,0.083291,0.073475,0.032722,0.458071,0.6071,1.0043,0.5699,0.8519,6.953655642446368e-05
88,0.071927,0.06193,0.033325,0.421461,0.6082,0.9897,0.5823,0.8333,6.873032967079561e-05
89,0.082475,0.071217,0.037529,0.443884,0.5943,1.0079,0.5668,0.8148,6.7918397477265e-05
90,0.072834,0.065363,0.024902,0.465265,0.6096,0.9804,0.5901,0.8148,6.710100716628344e-05
91,0.088196,0.071346,0.056167,0.461789,0.6277,1.009,0.5659,0.8148,6.627840772285784e-05
92,0.08641,0.069679,0.055771,0.46996,0.6245,1.0156,0.5601,0.8148,6.545084971874738e-05
93,0.085884,0.074695,0.037299,0.481974,0.6492,1.0406,0.5382,0.8519,6.461858523613684e-05
94,0.082809,0.071048,0.039204,0.477985,0.6254,1.0048,0.5694,0.8519,6.378186779084995e-05
95,0.065116,0.058835,0.020937,0.468214,0.6321,1.0672,0.5143,0.8333,6.294095225512603e-05
96,0.066651,0.062039,0.015373,0.468139,0.6078,1.0375,0.5409,0.8148,6.209609477998338e-05
97,0.069355,0.062742,0.022042,0.453164,0.6071,1.0165,0.5594,0.8148,6.124755271719325e-05
98,0.069763,0.060673,0.030301,0.501839,0.6505,1.0256,0.5514,0.8333,6.0395584540887963e-05
99,0.079184,0.074334,0.016167,0.474144,0.6271,1.0244,0.5525,0.8333,5.9540449768827246e-05
100,0.080919,0.071417,0.031673,0.466733,0.6145,1.0528,0.5273,0.8333,5.868240888334653e-05
101,0.084021,0.074181,0.032799,0.494183,0.6446,1.0805,0.5021,0.8333,5.782172325201155e-05
102,0.071797,0.060931,0.036219,0.489454,0.6273,1.0092,0.5656,0.8333,5.695865504800327e-05
103,0.079357,0.071428,0.026428,0.473239,0.5976,0.973,0.5963,0.8333,5.6093467170257374e-05
104,0.076533,0.064917,0.038718,0.474138,0.6217,1.0195,0.5567,0.8148,5.522642316338268e-05
105,0.080603,0.066734,0.046228,0.455725,0.6041,1.03,0.5476,0.8148,5.435778713738292e-05
106,0.086824,0.07099,0.052781,0.51419,0.6254,1.0461,0.5333,0.7963,5.348782368720626e-05
107,0.065947,0.058141,0.026018,0.508251,0.6141,1.0622,0.5188,0.7963,5.26167978121472e-05
108,0.072237,0.06665,0.018623,0.548775,0.6425,1.0945,0.4891,0.8333,5.174497483512506e-05
109,0.069155,0.06159,0.025214,0.504187,0.6039,0.9925,0.5799,0.8148,5.0872620321864185e-05
110,0.05205,0.042755,0.030984,0.526085,0.648,1.0772,0.5052,0.7963,5e-05
111,0.066407,0.060298,0.02036,0.49639,0.6306,1.043,0.5361,0.7963,4.912737967813583e-05
112,0.083442,0.073657,0.032617,0.505927,0.6129,1.0294,0.5481,0.8519,4.825502516487497e-05
113,0.066344,0.061293,0.016839,0.536732,0.6466,1.0819,0.5009,0.7963,4.738320218785281e-05
