iter,A,B,base_mid,pred_bg_mean,pred_bg_std,is_metal_prob,error_to_target,cif_path,text,charge_warning,low_confidence,failed,fail_reason
1,Na,Pb,mp-756464,1.9250736474990844,0.32511213758732377,0.1768845554062864,0.07492635250091562,results/inverse_design/target_2.00/cifs/iter01_cand04.cif,"Na(1) is bonded to two equivalent O(1) and four equivalent O(2) atoms to form corner-sharing CoO6 octahedra. The corner-sharing octahedral tilt angles range from 35-36°. Both Na(1)-O(1) bond lengths are 2.09 Å. There are two shorter (1.91 Å) and two longer (2.10 Å) Na(1)-O(2) bond lengths. Pb(1) is bonded in a 6-coordinate geometry to two equivalent O(1) and four equivalent O(2) atoms. There is one shorter (2.26 Å) and one longer (2.28 Å) Pb(1)-O(1) bond length. There are two shorter (2.26 Å) and two longer (2.57 Å) Pb(1)-O(2) bond lengths. There are two inequivalent O sites. In the first O site, O(1) is bonded to two equivalent Na(1) and two equivalent Pb(1) atoms to form distorted corner-sharing OTl2Co2 tetrahedra. In the second O site, O(2) is bonded in a 4-coordinate geometry to two equivalent Na(1) and two equivalent Pb(1) atoms.",True,False,False,
2,Ba,Cr,mp-555098,1.8419363856315614,0.808228815563362,0.1537725362672063,0.15806361436843863,results/inverse_design/target_2.00/cifs/iter02_cand01.cif,"Cr(1) is bonded in a 9-coordinate geometry to three equivalent O(2) and six equivalent O(1) atoms. There is one shorter (2.65 Å) and two longer (3.01 Å) Cr(1)-O(2) bond lengths. There are a spread of Cr(1)-O(1) bond distances ranging from 2.64-2.68 Å. Ba(1) is bonded in a distorted trigonal non-coplanar geometry to one O(2) and two equivalent O(1) atoms. The Ba(1)-O(2) bond length is 1.71 Å. Both Ba(1)-O(1) bond lengths are 1.71 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded to three equivalent Cr(1) and one Ba(1) atom to form a mixture of distorted corner and edge-sharing OSr3Se tetrahedra. In the second O site, O(2) is bonded in a 4-coordinate geometry to three equivalent Cr(1) and one Ba(1) atom.",False,True,False,
4,Ba,Cr,mp-555098,1.8419363737106322,0.8082288068865202,0.15377253035258037,0.15806362628936776,results/inverse_design/target_2.00/cifs/iter04_cand01.cif,"Cr(1) is bonded in a 9-coordinate geometry to three equivalent O(2) and six equivalent O(1) atoms. There is one shorter (2.65 Å) and two longer (3.01 Å) Cr(1)-O(2) bond lengths. There are a spread of Cr(1)-O(1) bond distances ranging from 2.64-2.68 Å. Ba(1) is bonded in a distorted trigonal non-coplanar geometry to one O(2) and two equivalent O(1) atoms. The Ba(1)-O(2) bond length is 1.71 Å. Both Ba(1)-O(1) bond lengths are 1.71 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded to three equivalent Cr(1) and one Ba(1) atom to form a mixture of distorted corner and edge-sharing OSr3Se tetrahedra. In the second O site, O(2) is bonded in a 4-coordinate geometry to three equivalent Cr(1) and one Ba(1) atom.",False,True,False,
0,Sr,Sm,mp-753534,2.1814563274383545,0.26325101549531377,0.48103928565979004,0.1814563274383545,results/inverse_design/target_2.00/cifs/iter00_cand00.cif,"Sm(1) is bonded to two equivalent O(1) and four equivalent O(2) atoms to form HfO6 octahedra that share corners with six equivalent Sm(1)O6 octahedra and corners with eight equivalent Sr(1)O4 tetrahedra. The corner-sharing octahedral tilt angles range from 45-47°. Both Sm(1)-O(1) bond lengths are 2.12 Å. There are two shorter (2.08 Å) and two longer (2.09 Å) Sm(1)-O(2) bond lengths. Sr(1) is bonded to two equivalent O(1) and two equivalent O(2) atoms to form distorted CoO4 tetrahedra that share corners with eight equivalent Sm(1)O6 octahedra and corners with two equivalent Sr(1)O4 tetrahedra. The corner-sharing octahedral tilt angles range from 65-82°. There is one shorter (2.07 Å) and one longer (2.18 Å) Sr(1)-O(1) bond length. Both Sr(1)-O(2) bond lengths are 2.03 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded to two equivalent Sm(1) and two equivalent Sr(1) atoms to form distorted corner-sharing OHf2Co2 tetrahedra. In the second O site, O(2) is bonded in a distorted trigonal planar geometry to two equivalent Sm(1) and one Sr(1) atom.",True,False,False,
3,Ba,Cr,mp-755165,1.817748212814331,0.12567105437798476,0.17066833698481787,0.18225178718566903,results/inverse_design/target_2.00/cifs/iter03_cand01.cif,"Cr(1) is bonded in a 8-coordinate geometry to two equivalent O(1) and six equivalent O(2) atoms. There is one shorter (2.24 Å) and one longer (2.34 Å) Cr(1)-O(1) bond length. There are a spread of Cr(1)-O(2) bond distances ranging from 2.28-2.87 Å. Ba(1) is bonded to two equivalent O(1) and four equivalent O(2) atoms to form corner-sharing ScO6 octahedra. The corner-sharing octahedral tilt angles range from 39-42°. Both Ba(1)-O(1) bond lengths are 2.14 Å. There are two shorter (2.09 Å) and two longer (2.12 Å) Ba(1)-O(2) bond lengths. There are two inequivalent O sites. In the first O site, O(1) is bonded to two equivalent Cr(1) and two equivalent Ba(1) atoms to form distorted corner-sharing OY2Sc2 trigonal pyramids. In the second O site, O(2) is bonded in a 5-coordinate geometry to three equivalent Cr(1) and two equivalent Ba(1) atoms.",False,False,False,
0,In,Pr,mp-19201,1.7542821884155273,0.42356751894880534,0.1705858296045335,0.2457178115844727,results/inverse_design/target_2.00/cifs/iter00_cand03.cif,"In(1) is bonded in a 8-coordinate geometry to two equivalent O(1) and six equivalent O(2) atoms. There is one shorter (2.32 Å) and one longer (2.41 Å) In(1)-O(1) bond length. There are a spread of In(1)-O(2) bond distances ranging from 2.34-2.63 Å. Pr(1) is bonded to two equivalent O(1) and four equivalent O(2) atoms to form corner-sharing MnO6 octahedra. The corner-sharing octahedral tilt angles range from 25-26°. Both Pr(1)-O(1) bond lengths are 1.94 Å. All Pr(1)-O(2) bond lengths are 1.95 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded in a 4-coordinate geometry to two equivalent In(1) and two equivalent Pr(1) atoms. In the second O site, O(2) is bonded in a 5-coordinate geometry to three equivalent In(1) and two equivalent Pr(1) atoms.",False,False,False,
0,Hg,N,mp-19893,1.6454896211624146,0.5322045899878917,0.3199888539966196,0.3545103788375854,results/inverse_design/target_2.00/cifs/iter00_cand04.cif,"N(1) is bonded in a 9-coordinate geometry to three equivalent O(2) and six equivalent O(1) atoms. There is one shorter (2.60 Å) and two longer (2.77 Å) N(1)-O(2) bond lengths. There are a spread of N(1)-O(1) bond distances ranging from 2.65-2.70 Å. Hg(1) is bonded in a trigonal planar geometry to one O(2) and two equivalent O(1) atoms. The Hg(1)-O(2) bond length is 1.29 Å. Both Hg(1)-O(1) bond lengths are 1.29 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded in a single-bond geometry to three equivalent N(1) and one Hg(1) atom. In the second O site, O(2) is bonded in a single-bond geometry to three equivalent N(1) and one Hg(1) atom.",True,True,False,
4,Ce,Ti,mp-20460,1.6171309232711792,0.32992809746009333,0.1607418505314854,0.38286907672882076,results/inverse_design/target_2.00/cifs/iter04_cand00.cif,"Ce(1) is bonded to two equivalent O(2) and four equivalent O(1) atoms to form corner-sharing NiO6 octahedra. The corner-sharing octahedral tilt angles range from 49-54°. Both Ce(1)-O(2) bond lengths are 2.10 Å. There are two shorter (2.06 Å) and two longer (2.15 Å) Ce(1)-O(1) bond lengths. Ti(1) is bonded in a trigonal non-coplanar geometry to one O(2) and two equivalent O(1) atoms. The Ti(1)-O(2) bond length is 1.73 Å. Both Ti(1)-O(1) bond lengths are 1.74 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded in a distorted trigonal planar geometry to two equivalent Ce(1) and one Ti(1) atom. In the second O site, O(2) is bonded in a trigonal non-coplanar geometry to two equivalent Ce(1) and one Ti(1) atom.",False,False,False,
1,Bi,Fe,mp-1178214,1.2782726287841797,0.06664952830303116,0.17962977240022154,0.7217273712158203,results/inverse_design/target_2.00/cifs/iter01_cand03.cif,"Bi(1) is bonded in a 4-coordinate geometry to two equivalent O(1) and two equivalent O(2) atoms. There is one shorter (2.11 Å) and one longer (2.17 Å) Bi(1)-O(1) bond length. Both Bi(1)-O(2) bond lengths are 2.08 Å. Fe(1) is bonded to two equivalent O(1) and four equivalent O(2) atoms to form corner-sharing SnO6 octahedra. The corner-sharing octahedral tilt angles are 45°. Both Fe(1)-O(1) bond lengths are 2.13 Å. There are two shorter (2.07 Å) and two longer (2.10 Å) Fe(1)-O(2) bond lengths. There are two inequivalent O sites. In the first O site, O(1) is bonded to two equivalent Bi(1) and two equivalent Fe(1) atoms to form distorted corner-sharing OFe2Sn2 tetrahedra. In the second O site, O(2) is bonded in a distorted trigonal planar geometry to one Bi(1) and two equivalent Fe(1) atoms.",False,False,False,
2,Ce,Ti,mp-22649,0.8190436720848083,0.2095597505897774,0.1820287804453983,1.1809563279151916,results/inverse_design/target_2.00/cifs/iter02_cand04.cif,"Ti(1) is bonded to two equivalent O(2) and four equivalent O(1) atoms to form corner-sharing VO6 octahedra. The corner-sharing octahedral tilt angles range from 27-28°. Both Ti(1)-O(2) bond lengths are 1.96 Å. There are two shorter (1.94 Å) and two longer (1.96 Å) Ti(1)-O(1) bond lengths. Ce(1) is bonded in a 8-coordinate geometry to two equivalent O(2) and six equivalent O(1) atoms. There is one shorter (2.27 Å) and one longer (2.45 Å) Ce(1)-O(2) bond length. There are a spread of Ce(1)-O(1) bond distances ranging from 2.31-2.69 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded in a 5-coordinate geometry to two equivalent Ti(1) and three equivalent Ce(1) atoms. In the second O site, O(2) is bonded to two equivalent Ti(1) and two equivalent Ce(1) atoms to form distorted corner-sharing OV2Cd2 tetrahedra.",False,False,False,
